zipcode,latitude,longitude,SALEPRICE,bakery_count_rating,bakery_count_price_level,bar_count_rating,bar_count_price_level,cafe_count_rating,cafe_count_price_level,grocery_or_supermarket_count_rating,grocery_or_supermarket_count_price_level,movie_theater_count_rating,movie_theater_count_price_level,park_count_rating,park_count_price_level,pharmacy_count_rating,pharmacy_count_price_level,restaurant_count_rating,restaurant_count_price_level,school_count_rating,school_count_price_level,spa_count_rating,spa_count_price_level,subway_station_count_rating,subway_station_count_price_level,bakery_mean_rating,bakery_mean_price_level,bar_mean_rating,bar_mean_price_level,cafe_mean_rating,cafe_mean_price_level,grocery_or_supermarket_mean_rating,grocery_or_supermarket_mean_price_level,movie_theater_mean_rating,movie_theater_mean_price_level,park_mean_rating,park_mean_price_level,pharmacy_mean_rating,pharmacy_mean_price_level,restaurant_mean_rating,restaurant_mean_price_level,school_mean_rating,school_mean_price_level,spa_mean_rating,spa_mean_price_level,subway_station_mean_rating,subway_station_mean_price_level
20001,38.9119390835,-77.0189571611,520613.082155,12.2376325088,10.8560070671,47.417844523,44.3427561837,26.2641342756,24.5636042403,5.33657243816,4.11925795053,1.08922261484,0.0,4.25,0.0,3.71908127208,1.98409893993,53.1475265018,52.7977031802,7.00441696113,0.0,3.45141342756,0.200530035336,2.08745583039,0.0,3.97781486231,1.30055462711,3.91461989263,1.91899569751,3.98295218107,1.50400253162,3.89292418807,1.94816334118,4.56961805556,,4.38630643491,,2.89059896851,1.86267073759,3.88489702375,1.84970735411,4.26400700657,,3.95198064325,2.02761674718,3.88600374915,
20002,38.9026766141,-76.9918181636,491376.547264,3.87230514096,4.24543946932,26.8548922056,22.8764510779,6.99834162521,6.78358208955,3.92288557214,2.84825870647,0.258706467662,0.0,1.68325041459,0.0,2.04892205638,1.33913764511,41.9510779436,39.2213930348,3.72056384743,0.0,0.166666666667,0.0190713101161,0.223051409619,0.0,3.78428626445,1.31987604866,4.01895782621,1.67695419371,4.09304173879,1.60399782608,3.81490952484,1.74071475613,4.20857605178,,4.42322681704,,2.79113994934,1.90116323417,3.9076882783,1.459182751,4.21471598722,,3.95688616248,2.55208333333,4.45490118577,
20003,38.8878230968,-76.9936541007,575679.107784,5.70538922156,5.92215568862,29.5185628743,28.0946107784,9.26586826347,9.17365269461,4.89461077844,3.23592814371,0.0323353293413,0.0,2.60598802395,0.0,3.73053892216,1.5628742515,43.8922155689,40.2119760479,4.0,0.0,1.71497005988,0.0167664670659,0.0706586826347,0.0,3.59810939176,1.64247366033,4.00917991014,1.86602218758,3.96108007395,1.73274002927,3.86824905167,2.06208627814,4.50909090909,,4.57472792774,,2.90505370291,1.98191192266,3.85385119145,1.6468739498,4.30370856187,,3.99907043763,2.23611111111,4.18041666667,
20004,38.8976827263,-77.0234471079,511165.804348,23.3043478261,20.2282608696,56.75,52.347826087,44.3152173913,39.6630434783,2.07608695652,2.02173913043,2.72826086957,0.0,9.70652173913,0.0,2.86956521739,2.51086956522,56.6304347826,56.6739130435,3.98913043478,0.0,6.09782608696,0.239130434783,5.40217391304,0.0,3.54380234092,1.33550749113,3.76385715117,2.22686637957,3.68226422626,1.61406270058,2.83196320533,1.63549540347,4.31494252874,,4.45701192829,,3.14292283951,1.69468864469,3.81780854066,2.2473274024,4.25163819876,,3.84183473389,2.01666666667,3.84429112554,
20005,38.9100079126,-77.0306598098,537507.378251,21.5839243499,21.9550827423,56.3569739953,54.68321513,44.5295508274,41.3475177305,9.16075650118,9.01418439716,0.879432624113,0.0,9.87943262411,0.0,7.5768321513,2.21985815603,57.1040189125,57.0094562648,4.44917257683,0.0,11.6548463357,1.59574468085,4.26241134752,0.0,3.83181884404,1.52204038667,3.78852439046,2.16583528014,3.82375411389,1.6808368577,4.07576468979,2.01203869089,4.28098360656,,4.14412345435,,3.07764547969,1.98116486203,3.79758692352,2.18012535285,4.401007109,,3.97830828087,2.09419326241,3.8482234889,
20006,38.9036328968,-77.0187305368,474870.6,11.44,13.12,36.72,35.12,23.56,25.96,3.72,4.12,0.16,0.0,6.6,0.0,4.0,1.2,43.12,41.28,3.76,0.0,7.76,0.76,1.56,0.0,3.82166341416,1.53112059759,3.86408591736,2.03918506516,3.8755937889,1.58970187061,3.9050974026,1.90681818182,4.0,,4.28577850112,,3.54488636364,1.88461538462,3.74258544301,1.84785458059,4.37517857143,,4.1196224473,2.63333333333,3.96845238095,
20007,38.9152525991,-77.0692224773,1047183.07067,7.6961130742,7.74204946996,27.1283863369,27.9340400471,13.199057715,14.5571260306,3.28386336867,3.4605418139,0.33097762073,0.0,3.04711425206,0.0,1.77502944641,1.48881036514,37.3309776207,38.1401648999,3.37338044759,0.0,6.32862190813,0.934040047114,0.321554770318,0.0,3.74751911376,1.62596646377,4.00280676087,2.01469913691,3.92471380297,1.63728873179,3.77484059486,2.00589167864,3.92508960573,,4.39607598983,,3.49352464438,1.99188394683,3.89061294667,1.84523332597,4.31282922633,,4.44299955601,3.2770531401,4.00346153846,
20008,38.9346109206,-77.0571568398,901813.098507,4.88358208955,4.77164179104,23.2686567164,22.8925373134,9.27014925373,9.91343283582,3.28059701493,3.42985074627,0.441791044776,0.0,1.4776119403,0.0,2.40746268657,0.965671641791,36.7074626866,36.052238806,2.37014925373,0.0,3.06417910448,0.407462686567,0.558208955224,0.0,4.02176791763,1.26295182493,3.90502382094,2.06079129431,3.85269689438,1.61311935336,3.96510576846,2.31233551436,4.48259385666,,4.17344823502,,2.96203176938,1.90346016911,3.87846378988,1.80883221736,4.28708561809,,4.07729711351,2.43558558559,3.92809427415,
20009,38.9200806142,-77.0346268638,966153.514899,13.9266984505,12.8277711561,54.6668653159,52.2234803337,30.3957091776,29.4690107271,10.0542312277,9.1126340882,0.315256257449,0.0,6.07568533969,0.0,6.81287246722,4.78009535161,57.1168057211,55.9541120381,5.20619785459,0.0,6.51609058403,0.969010727056,1.36710369487,0.0,3.97580576398,1.5821116027,3.8889843869,1.96368386528,4.09421606549,1.47433993397,4.10416691844,1.9443127719,4.96034482759,,4.29643258001,,3.15103296612,1.82801712895,3.87052102318,1.92962931712,4.30868679359,,4.26238179512,2.39764868603,3.96033731641,
20010,38.9286598738,-77.0276476976,482395.944984,6.1213592233,5.38025889968,29.3090614887,25.3122977346,13.3689320388,13.0404530744,3.26213592233,3.21844660194,0.0275080906149,0.0,0.597087378641,0.0,4.15048543689,4.27184466019,48.2022653722,45.0809061489,7.37702265372,0.0,0.642394822006,0.00970873786408,0.0987055016181,0.0,4.10662318873,1.46868369199,4.09308547971,1.60220415326,4.2640943261,1.39865458572,3.86734079731,2.08780809859,4.8,,4.32386446886,,2.98840146307,1.96959183673,3.92721199631,1.50490057448,4.15410308075,,4.32333630408,2.94444444444,3.92407407407,
