zipcode,ANNUALTAX,ASSESSMENT,BASEBUILD,BASELAND,CAPCURR,CAPPROP,CLASS3EX,COOPUNITS,LANDAREA,MIX1BLDPCT,MIX1BLDVAL,MIX1LNDPCT,MIX1LNDVAL,MIX1RATE,MIX2BLDPCT,MIX2BLDVAL,MIX2LNDPCT,MIX2LNDVAL,MIX2RATE,NEWIMPR,NEWLAND,NEWTOTAL,OBJECTID,OLDIMPR,OLDLAND,OLDTOTAL,OWNOCCT,PHASEBUILD,PHASELAND,SALEPRICE,TAXRATE,latitude,longitude,bakery_count,bakery_mean_rating,bakery_mean_price_level,bar_count,bar_mean_rating,bar_mean_price_level,cafe_count,cafe_mean_rating,cafe_mean_price_level,grocery_or_supermarket_count,grocery_or_supermarket_mean_rating,grocery_or_supermarket_mean_price_level,movie_theater_count,movie_theater_mean_rating,movie_theater_mean_price_level,park_count,park_mean_rating,park_mean_price_level,pharmacy_count,pharmacy_mean_rating,pharmacy_mean_price_level,restaurant_count,restaurant_mean_rating,restaurant_mean_price_level,school_count,school_mean_rating,school_mean_price_level,spa_count,spa_mean_rating,spa_mean_price_level,subway_station_count,subway_station_mean_rating,subway_station_mean_price_level,log(SALEPRICE),saledate_int
20818,2048.89,541105.0,83883.0,56899.0,392543.5,522835.0,0.0,0.0,5797.5,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,154220.0,403715.0,557935.0,6650.5,115790.0,407135.0,522925.0,0.0,112595.0,428510.0,567500.0,0.85,38.9581950493,-77.0702494807,2.5,3.8625,1.5,15.0,4.01916666667,2.16964285714,7.0,4.18,1.26666666667,5.5,3.88,2.0,1.0,4.3,,4.5,4.1,,9.0,3.86428571429,2.0,19.5,3.84916666667,1.925,0.0,,,3.5,3.75,,0.5,,,5.59656229918,1.36944e+18
20824,2360.45,277700.0,65729.0,35293.0,277700.0,310260.0,0.0,0.0,3529.5,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,114210.0,196050.0,310260.0,5369.0,107080.0,166945.0,274025.0,0.0,114075.0,163625.0,207000.0,0.85,38.8914424493,-76.9687213176,8.0,4.06666666667,1.11111111111,10.0,3.815,1.92857142857,10.0,3.875,1.66666666667,12.0,4.05,2.0,0.5,4.1,,7.5,3.95,,8.0,4.1,2.0,14.5,3.75,1.34210526316,0.0,,,0.0,,,0.5,4.5,,5.22330741183,1.3673232e+18
20827,3991.98,601410.0,98536.0,60318.0,601410.0,710960.0,0.0,0.0,4888.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,480000.0,230960.0,710960.0,2433.0,142050.0,195860.0,337910.0,0.0,409700.0,191710.0,310000.0,0.85,38.9416567222,-76.9889966525,1.0,,,5.0,4.0,2.0,2.0,4.2,2.0,3.0,4.6,3.0,1.0,,,2.0,,,4.0,3.2,,20.0,3.86428571429,1.44444444444,0.0,,,1.0,,,1.0,,,5.49136169383,1.3613184e+18
20830,2199.38,258750.0,80130.0,24163.0,258750.0,321850.0,0.0,0.0,1304.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,103810.0,218040.0,321850.0,3827.0,92660.0,159110.0,251770.0,0.0,100290.0,158460.0,9125.0,0.85,38.9491355664,-77.0222677964,8.0,4.4,1.0,10.0,4.25714285714,1.83333333333,5.0,4.4,2.0,20.0,4.2,2.0,0.0,,,7.0,,,10.0,3.35,2.0,20.0,3.97058823529,1.53333333333,0.0,,,2.0,4.2,,0.0,,,3.96023287313,1.3650336e+18
20832,2448.49,306260.0,104522.5,57161.1666667,306260.0,345661.666667,0.0,0.0,2065.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,168993.333333,176668.333333,345661.666667,4588.66666667,141085.0,165640.0,306725.0,0.0,144735.0,161525.0,321666.666667,0.85,38.8956746395,-76.9934518554,6.0,3.599375,1.54166666667,9.33333333333,3.8925,2.36029411765,6.33333333333,3.89657894737,1.61483253589,12.1666666667,3.80333333333,1.95,1.33333333333,4.13333333333,,8.16666666667,4.50833333333,,7.16666666667,3.17,1.93333333333,16.3333333333,3.79111111111,1.48478407557,0.0,,,5.33333333333,4.17,,1.5,3.85,,5.29488765279,1.3540464e+18
20833,3009.08,354010.0,96713.0,19806.0,354010.0,460885.0,0.0,0.0,761.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,296930.0,163955.0,460885.0,5783.0,195400.0,136200.0,331600.0,0.0,212445.0,141565.0,472500.0,0.85,38.9340517663,-77.0425713239,9.5,4.06515151515,1.5,12.0,4.07,1.73684210526,13.0,4.24166666667,1.52777777778,14.5,3.85833333333,1.375,1.5,3.9,,10.5,4.35,,9.5,3.03333333333,1.6,20.0,3.93607142857,1.77692307692,0.0,,,10.5,4.28076923077,3.5,0.5,3.7,,5.67263784231,1.3611888e+18
20848,1596.8,187860.0,124300.0,53270.0,187860.0,191680.0,0.0,0.0,794.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,134180.0,57500.0,191680.0,15779.0,106110.0,45470.0,151580.0,0.0,131500.0,56360.0,209500.0,0.85,38.9719771538,-77.0167089042,4.0,3.76666666667,2.0,10.0,4.13333333333,2.0,7.0,4.36,1.5,9.0,3.8,2.0,0.0,,,7.0,3.8,,7.0,2.7,2.0,20.0,3.84,1.22222222222,0.0,,,2.0,3.4,,0.0,,,5.3211840273,1.3472352e+18
20850,3637.80885714,443741.428571,141740.771429,63180.1142857,428893.857143,557780.028571,0.0,0.0,2125.11428571,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,343503.714286,228808.0,572311.714286,6560.2,234415.142857,197716.285714,432131.428571,0.0,243538.571429,200202.857143,550308.571429,0.85,38.9109274326,-77.018621051,8.11428571429,3.99874028273,1.41899867092,11.8571428571,4.01419169203,1.86495951207,9.82857142857,4.06715343035,1.59999621105,11.1428571429,3.88649659864,1.82643678161,1.02857142857,3.94444444444,,9.8,4.34863333333,,9.62857142857,3.35730769231,1.83939393939,17.6857142857,3.83965013025,1.69229270521,1.65714285714,4.41666666667,,6.54285714286,4.15864918415,2.83333333333,1.28571428571,4.02954545455,,5.48241762981,1.37178020571e+18
20852,2818.43588235,368187.058824,115012.176471,62651.4117647,350958.647059,384517.647059,0.0,0.0,1726.29411765,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,233414.705882,167620.588235,401035.294118,9594.35294118,188876.470588,145099.411765,333975.882353,0.0,225146.470588,143040.588235,366058.823529,0.85,38.8983819147,-77.0056631312,7.82352941176,3.9003959276,1.53686019862,10.5294117647,3.94108780109,2.014095536,9.94117647059,3.92454213908,1.59440747128,11.5882352941,3.885,1.83035714286,0.823529411765,4.33333333333,,11.2941176471,4.33983465608,,11.4117647059,3.15203703704,1.88,17.9411764706,3.73824975774,1.69326340205,1.17647058824,4.12222222222,,4.82352941176,4.03824915825,2.66666666667,1.47058823529,4.09,,5.43007251382,1.36135397647e+18
20853,2895.79333333,364081.666667,104280.5,51454.3333333,340681.666667,366948.333333,0.0,0.0,1641.5,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,185526.666667,204821.666667,390348.333333,7459.33333333,185096.666667,171795.0,356891.666667,0.0,193696.666667,170385.0,359083.333333,0.85,38.9149867576,-77.0186569775,9.66666666667,3.49730392157,1.56812169312,13.3333333333,3.96156641604,2.07387340901,9.66666666667,3.98222222222,1.64385964912,10.8333333333,3.59166666667,1.75,1.5,4.3,,12.1666666667,4.35861111111,,11.3333333333,2.9196969697,1.83333333333,19.1666666667,3.81816379183,1.82319933821,0.0,,,7.16666666667,4.08,2.33333333333,2.66666666667,3.87,,5.48654702467,1.369872e+18
20854,3394.65455882,430807.5,122539.352941,61862.1911765,413282.352941,471323.088235,0.0,0.0,1770.72058824,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,261792.647059,223983.382353,485776.029412,8338.17647059,222756.029412,184131.911765,406887.941176,0.0,245980.441176,184827.058824,448980.411765,0.85,38.9125566913,-77.0221732993,9.86764705882,3.83185300557,1.46719578323,14.9705882353,3.97461515906,1.95402387051,12.5,4.0214599401,1.58148118637,14.0441176471,3.84766967292,1.89677750411,1.04411764706,4.25263157895,,12.4411764706,4.25596016184,,12.5,3.26716955267,1.94351311953,18.2647058824,3.88851546217,1.84043901051,0.588235294118,4.26111111111,,6.77941176471,4.04007792208,2.40196078431,1.83823529412,3.98942307692,,5.5355292267,1.36703477647e+18
20855,2475.86,324162.0,90158.8,51011.6,308739.6,365300.0,0.0,0.0,2870.2,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,158602.0,220738.0,379340.0,6589.2,145646.0,169552.0,315198.0,0.0,156924.0,167238.0,319980.0,0.85,38.9191325317,-77.0045829821,10.0,4.07182539683,1.45634920635,16.0,4.00342105263,1.71461988304,15.8,4.17696969697,1.5980952381,15.8,4.0,2.3125,0.6,4.9,,14.0,4.48,,14.4,2.75791666667,2.0,19.8,3.95144444444,1.67947368421,4.0,4.21666666667,,4.2,4.1,,1.6,4.0,,5.49692616699,1.35136512e+18
